Variable1,Correlation,Description,Variable_Part,Variable_Part_Description
Median,0.9855789294390813,Ex_S1_S103,dim6,Packer breakdown
Average,0.9841474346342962,Ex_S2_S3,dim6,Packer breakdown
Average,0.9839007504411905,Ex_S5_S6,dim6,Packer breakdown
Average,0.9819070113492344,Ex_S1_S102,dim6,Packer breakdown
Average,0.9787149096801421,Ex_S1_S2,dim6,Packer breakdown
Median,0.9785767582914611,Ex_S1_S102,dim6,Packer breakdown
Median,0.9697270340964735,Ex_S4_S5,dim6,Packer breakdown
Average,0.9597990113531634,Ex_S1_S100,dim6,Packer breakdown
Average,0.9385046750089711,Ex_S1_S101,dim6,Packer breakdown
Median,0.9366092368262404,Ecdf_S104,dim6,Packer breakdown
Average,0.9338964930858413,Ex_S6_S7,dim6,Packer breakdown
Median,0.9310168010347813,Ex_S1_S100,dim6,Packer breakdown
Median,0.9277278614889988,Ex_S1_S101,dim6,Packer breakdown
Median,0.927507654804704,Ex_S8_S104,dim6,Packer breakdown
Average,0.9117050158030654,Ex_S1_S15,dim6,Packer breakdown
Median,0.9099261983591929,Ecdf_S4,dim6,Packer breakdown
Median,0.908881118486095,Ecdf_S5,dim6,Packer breakdown
Average,0.9020765021183845,Ecdf_S4,dim6,Packer breakdown
Median,0.9003997251370749,Ex_S1_S15,dim6,Packer breakdown
Median,0.8946064630939927,Ecdf_S14,dim6,Packer breakdown
Median,0.8847550730762126,Ecdf_S12,dim6,Packer breakdown
Median,0.8627873646990358,Ex_S3_S4,dim6,Packer breakdown
Average,0.8256326907653563,Ex_S10_S12,dim6,Packer breakdown
Average,0.8250645027386546,Ecdf_S3,dim6,Packer breakdown
Median,0.8117668301071497,Ex_S5_S6,dim6,Packer breakdown
Average,0.804591127535619,Ecdf_S5,dim6,Packer breakdown
Average,0.7631777175945783,Ex_S3_S100,dim6,Packer breakdown
Average,0.716463579363028,Ecdf_S104,dim6,Packer breakdown
Average,-0.6990281291924176,Ecdf_S8,dim6,Packer breakdown
Average,-0.6994595929239344,Ecdf_S14,dim6,Packer breakdown
Median,-0.7016309280723679,Ex_S6_S7,dim6,Packer breakdown
Average,-0.739979248867476,Ecdf_S6,dim6,Packer breakdown
Average,-0.780573455776623,Ex_S6_S105,dim6,Packer breakdown
Median,-0.7898693147127825,Ex_S105_S101,dim6,Packer breakdown
Median,-0.8340057784788387,Ex_S8_S9,dim6,Packer breakdown
Average,-0.8614576219388698,Ex_S8_S104,dim6,Packer breakdown
Median,-0.8627873646990359,Ecdf_S6,dim6,Packer breakdown
Average,-0.8634355859085531,Ecdf_S10,dim6,Packer breakdown
