;name;start;end;duration
0;total;13:32:23;13:33:34;70,94933986663818
0;clear_db;13:33:10;13:34:03;52,999754428863525
0;set_constraints;13:34:03;13:34:03;0,05697965621948242
0;_import_nodes_from_data for S1.csv;13:34:03;13:34:03;0,09659576416015625
0;_import_nodes_from_data for S2.csv;13:34:03;13:34:03;0,06047344207763672
0;_import_nodes_from_data for S3.csv;13:34:03;13:34:03;0,06352353096008301
0;_import_nodes_from_data for S4.csv;13:34:03;13:34:03;0,060957908630371094
0;_import_nodes_from_data for S5.csv;13:34:03;13:34:03;0,057637691497802734
0;_import_nodes_from_data for S6.csv;13:34:03;13:34:03;0,0550074577331543
0;_import_nodes_from_data for S101.csv;13:34:03;13:34:03;0,020508289337158203
0;_import_nodes_from_data for S105.csv;13:34:03;13:34:03;0,012998580932617188
0;_filter_nodes for ToyExamplePizzaSensors;13:34:03;13:34:03;0,001043558120727539
0;_finalize_import;13:34:03;13:34:04;0,08247613906860352
0;_import_nodes_from_data for S100.csv;13:34:04;13:34:04;0,0449979305267334
0;_filter_nodes for ToyExamplePizzaSensorsExceededCookingTime;13:34:04;13:34:04;0,0010449886322021484
0;_finalize_import;13:34:04;13:34:04;0,011000871658325195
0;_import_nodes_from_data for S7.csv;13:34:04;13:34:04;0,03560614585876465
0;_import_nodes_from_data for S8.csv;13:34:04;13:34:04;0,03059864044189453
0;_import_nodes_from_data for S102.csv;13:34:04;13:34:04;0,02099919319152832
0;_import_nodes_from_data for S104.csv;13:34:04;13:34:04;0,03900718688964844
0;_filter_nodes for ToyExamplePackSensors;13:34:04;13:34:04;0,0009987354278564453
0;_finalize_import;13:34:04;13:34:04;0,009003400802612305
0;_import_nodes_from_data for S9.csv;13:34:04;13:34:04;0,02651381492614746
0;_import_nodes_from_data for S10.csv;13:34:04;13:34:04;0,024197816848754883
0;_import_nodes_from_data for S103.csv;13:34:04;13:34:04;0,02451157569885254
0;_filter_nodes for ToyExampleBoxSensors;13:34:04;13:34:04;0,0010442733764648438
0;_finalize_import;13:34:04;13:34:04;0,005956411361694336
0;_import_nodes_from_data for S11.csv;13:34:04;13:34:04;0,02216506004333496
0;_import_nodes_from_data for S12.csv;13:34:04;13:34:04;0,013000249862670898
0;_import_nodes_from_data for S13.csv;13:34:04;13:34:04;0,01300191879272461
0;_import_nodes_from_data for S14.csv;13:34:04;13:34:04;0,012998819351196289
0;_import_nodes_from_data for S15.csv;13:34:04;13:34:04;0,014000177383422852
0;_import_nodes_from_data for S16.csv;13:34:04;13:34:04;0,01399993896484375
0;_filter_nodes for ToyExamplePizzaPalletSensors;13:34:04;13:34:04;0,0010004043579101562
0;_finalize_import;13:34:04;13:34:04;0,009001016616821289
0;_import_nodes_from_data for stations.csv;13:34:04;13:34:04;0,057521820068359375
0;_filter_nodes for ToyExampleStations;13:34:04;13:34:04;0,0009999275207519531
0;_finalize_import;13:34:04;13:34:04;0,006001949310302734
0;_import_nodes_from_data for production_plan.csv;13:34:04;13:34:04;0,01999807357788086
0;_filter_nodes for ToyExampleProductionPlan;13:34:04;13:34:04;0,0010001659393310547
0;_finalize_import;13:34:04;13:34:04;0,00899958610534668
0;_import_nodes_from_data for opBox_onBreak.csv;13:34:04;13:34:04;0,06060218811035156
0;_import_nodes_from_data for opPack_onBreak.csv;13:34:04;13:34:04;0,009998321533203125
0;_filter_nodes for ToyExampleOperators;13:34:04;13:34:04;0,0010104179382324219
0;_finalize_import;13:34:04;13:34:04;0,0049893856048583984
0;_import_nodes_from_data for In1_distanceLock.csv;13:34:04;13:34:04;0,07360005378723145
0;_import_nodes_from_data for In1_policyLock.csv;13:34:04;13:34:04;0,06199789047241211
0;_filter_nodes for ToyExampleLockStatus;13:34:04;13:34:04;0,0
0;_finalize_import;13:34:04;13:34:04;0,014039993286132812
0;_import_nodes_from_data for wip.csv;13:34:04;13:34:04;0,06613755226135254
0;_filter_nodes for ToyExampleLockStatus;13:34:04;13:34:04;0,0009975433349609375
0;_finalize_import;13:34:04;13:34:04;0,011002302169799805
0;"_create_node_by_record for (e:Event:SensorEvent:V3 {timestamp: record.timestamp, activity: ""Pass Sensor "" + record.sensorId})";13:34:04;13:34:05;0,3330681324005127
0;"_create_node_by_record for (e:Event:OperatorEvent:V3 {timestamp: record.timestamp, activity: ""Start Break""})";13:34:05;13:34:05;0,08300518989562988
0;"_create_node_by_record for (e:Event:OperatorEvent:V3 {timestamp: record.timestamp, activity: ""Stop Break""})";13:34:05;13:34:05;0,08721780776977539
0;"_create_node_by_record for (e:Event:SensorReadingEvent:V3 {timestamp: record.timestamp, activity: ""Read Lock Status""})";13:34:05;13:34:05;0,13414406776428223
0;"_create_node_by_record for (e:Event:SensorReadingEvent:V3 {timestamp: record.timestamp, activity: ""Read WIP amount""})";13:34:05;13:34:05;0,11651229858398438
0;"_create_node_by_record for (a:Activity:V3 {activity: ""Pass Sensor "" + record.sensorId})";13:34:05;13:34:05;0,44630002975463867
0;"_create_node_by_record for (a:Activity:V3 {activity: ""Start Break""})";13:34:05;13:34:06;0,0905144214630127
0;"_create_node_by_record for (a:Activity:V3 {activity: ""Stop Break""})";13:34:06;13:34:06;0,08756709098815918
0;"_create_node_by_record for (a:Activity:V3 {activity: ""Read Lock Status""})";13:34:06;13:34:06;0,19336318969726562
0;"_create_node_by_record for (a:Activity:V3 {activity: ""Read WIP amount""})";13:34:06;13:34:06;0,13071060180664062
0;_create_node_by_record for (v:Entity:Pizza:V3 {sysId: record.pizzaId});13:34:06;13:34:07;1,0053210258483887
0;_create_node_by_record for (v:EntityAttribute:PizzaQualityAttribute:V3 {burned: record.exceededCookingTime});13:34:07;13:34:07;0,0905158519744873
0;_create_node_by_record for (v:Entity:Pack:V3 {sysId: record.packId});13:34:07;13:34:07;0,1630878448486328
0;_create_node_by_record for (v:Entity:Box:V3 {sysId: record.boxId});13:34:07;13:34:08;0,33776092529296875
0;_create_node_by_record for (v:Entity:Pallet:V3 {sysId: record.palletId});13:34:08;13:34:08;0,1582965850830078
0;_create_node_by_record for (v:Entity:Resource:MachinePart:Sensor:V3 {sysId: record.sensorId});13:34:08;13:34:14;6,106883764266968
0;"_create_node_by_record for (ls:EntityAttribute:SensorReading:V3 {status: ""locked""})";13:34:14;13:34:14;0,1423797607421875
0;"_create_node_by_record for (ls:EntityAttribute:SensorReading:V3 {status: ""not locked""})";13:34:14;13:34:14;0,20307111740112305
0;"_create_node_by_record for (ls:EntityAttribute:SensorReading:V3 {status: ""WIP amount "" + record.amount})";13:34:14;13:34:14;0,1640923023223877
0;_create_node_by_record for (v:Entity:Resource:Station:Location:V3 {sysId: record.stationName, type: record.stationType});13:34:14;13:34:14;0,1348283290863037
0;_create_node_by_record for (v:Entity:Resource:AssemblyLine:V3 {sysId: record.assemblyName});13:34:14;13:34:15;0,10451555252075195
0;_create_node_by_record for (v:ProductionPlan:V3 {code: record.code});13:34:15;13:34:15;0,3613572120666504
0;_create_node_by_record for (v:Entity:Resource:HumanResource:Operator:V3 {sysId: record.operatorId});13:34:15;13:34:15;0,12958526611328125
0;merge_sensor_events;13:34:15;13:34:15;0,02401876449584961
0;connect_wip_sensor_to_assembly_line;13:34:15;13:34:15;0,03052496910095215
0;_create_relations_using_record for (pizza ) - [:HAS_PROPERTY] -> (quality );13:34:15;13:34:15;0,09056448936462402
0;_create_relations_using_record for (sensor ) - [:HAS_VALUE] -> (ls );13:34:15;13:34:15;0,21613383293151855
0;_create_relations_using_record for (sensor ) - [:HAS_VALUE] -> (ls );13:34:15;13:34:16;0,1185152530670166
0;_create_relations_using_record for (pizza ) - [:FOLLOWS] -> (description );13:34:16;13:34:16;0,2202615737915039
0;_create_relations_using_record for (pack ) - [:FOLLOWS] -> (description );13:34:16;13:34:16;0,11304998397827148
0;_create_relations_using_record for (box ) - [:FOLLOWS] -> (description );13:34:16;13:34:16;0,0905158519744873
0;_create_relations_using_record for (sensor ) - [:PART_OF] -> (station );13:34:16;13:34:16;0,08851289749145508
0;_create_relations_using_record for (station ) - [:PART_OF] -> (assembly );13:34:16;13:34:16;0,08551716804504395
0;_create_relations_using_relation for (e ) - [:OCCURRED_AT] -> (station );13:34:16;13:34:16;0,20313119888305664
0;_create_relations_using_relation for (a ) - [:OCCURS_AT] -> (station );13:34:16;13:34:16;0,06116938591003418
0;_create_df_edges_for_entity for (:Entity:Pizza:V3);13:34:16;13:34:17;0,1931464672088623
0;_create_df_edges_for_entity for (:Entity:Pack:V3);13:34:17;13:34:17;0,08596229553222656
0;_create_df_edges_for_entity for (:Entity:Box:V3);13:34:17;13:34:17;0,09212279319763184
0;_create_df_edges_for_entity for (:Entity:Pallet:V3);13:34:17;13:34:17;0,0787498950958252
0;_create_df_edges_for_entity for (:Entity:Resource:MachinePart:Sensor:V3);13:34:17;13:34:17;0,36557531356811523
0;_create_df_edges_for_entity for (:Entity:Resource:Station:Location:V3);13:34:17;13:34:18;0,289409875869751
0;_create_df_edges_for_entity for (:Entity:Resource:HumanResource:Operator:V3);13:34:18;13:34:18;0,08447146415710449
0;_merge_duplicate_df_for_node for (:Entity:Pizza:V3);13:34:18;13:34:18;0,05500006675720215
0;_merge_duplicate_df_for_node for (:Entity:Pack:V3);13:34:18;13:34:18;0,03900551795959473
0;_merge_duplicate_df_for_node for (:Entity:Box:V3);13:34:18;13:34:18;0,03850913047790527
0;_merge_duplicate_df_for_node for (:Entity:Pallet:V3);13:34:18;13:34:18;0,03800010681152344
0;_merge_duplicate_df_for_node for (:Entity:Resource:MachinePart:Sensor:V3);13:34:18;13:34:18;0,06151437759399414
0;_merge_duplicate_df_for_node for (:Entity:Resource:Station:Location:V3);13:34:18;13:34:18;0,061006784439086914
0;_merge_duplicate_df_for_node for (:Entity:Resource:HumanResource:Operator:V3);13:34:18;13:34:18;0,04976606369018555
0;complete_corr;13:34:18;13:34:19;1,528601884841919
0;delete_df_edges;13:34:19;13:34:20;0,10946202278137207
0;complete_quality;13:34:20;13:34:20;0,1380324363708496
0;connect_operators_to_station;13:34:20;13:34:20;0,0429990291595459
